,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,% of fully vaccinated population,average for last 7 days,change in cases,increase in vaccinated population,average change
0,ISR,Asia,Israel,2021-01-04,448173.0,6631.0,5841.143,3445.0,29.0,27.0,51778.739,766.0989999999999,674.8439999999999,398.01099999999997,3.35,3.1189999999999998,1.34,261.0,30.154,1754.0,202.645,,,,,111655.0,8754026.0,1011.378,12.9,96656.0,11.167,0.06,16.5,tests performed,1433122.0,1433120.0,2.0,151701.0,130015.0,16.56,16.56,0.0,15021.0,82.41,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,0.0,,,,
1,ISR,Asia,Israel,2021-01-05,456139.0,7966.0,6248.714,3496.0,51.0,29.143,52699.075,920.335,721.932,403.903,5.892,3.367,1.32,279.0,32.234,1821.0,210.385,,,,,116533.0,8870559.0,1024.8419999999999,13.463,99070.0,11.446,0.063,15.9,tests performed,1557819.0,1557817.0,2.0,124697.0,125567.0,18.0,18.0,0.0,14507.0,82.41,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,0.0,,,0.0,
2,ISR,Asia,Israel,2021-01-06,463448.0,7309.0,6694.857,3529.0,33.0,31.714000000000002,53543.505,844.43,773.4760000000001,407.716,3.813,3.6639999999999997,1.29,280.0,32.349000000000004,1862.0,215.122,,,,,122920.0,8993479.0,1039.0430000000001,14.200999999999999,101860.0,11.767999999999999,0.066,15.2,tests performed,1660727.0,1660725.0,2.0,102908.0,118469.0,19.19,19.19,0.0,13687.0,82.41,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,0.0,,,0.0,
3,ISR,Asia,Israel,2021-01-07,471048.0,7600.0,6826.571,3552.0,23.0,32.429,54421.555,878.05,788.694,410.37300000000005,2.657,3.747,1.27,283.0,32.696,1884.0,217.66400000000002,,,,,117948.0,9111427.0,1052.67,13.627,103910.0,12.005,0.066,15.2,tests performed,1776367.0,1776362.0,5.0,115640.0,112417.0,20.52,20.52,0.0,12988.0,85.19,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,0.0,,,0.0,
4,ISR,Asia,Israel,2021-01-08,477357.0,6309.0,6978.143,3596.0,44.0,34.286,55150.452000000005,728.8969999999999,806.205,415.45599999999996,5.083,3.9610000000000003,1.27,296.0,34.198,1962.0,226.676,,,,,116983.0,9228410.0,1066.185,13.515,106162.0,12.265,0.066,15.2,tests performed,1842575.0,1842567.0,8.0,66208.0,111709.0,21.29,21.29,0.0,12906.0,85.19,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,0.0,,,0.0,
5,ISR,Asia,Israel,2021-01-09,485434.0,8077.0,7233.571,3645.0,49.0,36.143,56083.612,933.159,835.716,421.11800000000005,5.6610000000000005,4.176,1.25,295.0,34.082,1991.0,230.02599999999998,,,,,80260.0,9308670.0,1075.458,9.273,106605.0,12.315999999999999,0.068,14.7,tests performed,1887008.0,1886978.0,30.0,44433.0,107835.0,21.8,21.8,0.0,12458.0,85.19,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,0.0,,,0.0,
6,ISR,Asia,Israel,2021-01-10,491319.0,5885.0,7111.0,3671.0,26.0,36.429,56763.523,679.9110000000001,821.555,424.121,3.0039999999999996,4.209,1.23,308.0,35.584,2171.0,250.822,1057.0,122.118,1890.0,218.357,96440.0,9405110.0,1086.6,11.142000000000001,108963.0,12.589,0.065,15.3,tests performed,1930477.0,1924462.0,6015.0,43469.0,92722.0,22.3,22.23,0.07,10712.0,85.19,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,0.07,7111.0,,0.07,
7,ISR,Asia,Israel,2021-01-11,501073.0,9754.0,7557.143,3704.0,33.0,37.0,57890.431,1126.9080000000001,873.0989999999999,427.934,3.813,4.275,1.22,320.0,36.971,2177.0,251.515,,,,,126327.0,9531437.0,1101.195,14.595,111059.0,12.831,0.068,14.7,tests performed,1970688.0,1945449.0,25239.0,40211.0,76795.0,22.77,22.48,0.29,8872.0,85.19,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,0.29,7557.142857142857,446.1428571428569,0.21999999999999997,
8,ISR,Asia,Israel,2021-01-12,510063.0,8990.0,7703.429,3771.0,67.0,39.286,58929.072,1038.641,890.0,435.675,7.7410000000000005,4.539,1.19,318.0,36.739000000000004,2174.0,251.169,,,,,120994.0,9652431.0,1115.174,13.979000000000001,111696.0,12.905,0.069,14.5,tests performed,2030142.0,1969278.0,60864.0,59454.0,67475.0,23.45,22.75,0.7,7796.0,85.19,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,0.7,7703.428571428572,146.28571428571468,0.41,
9,ISR,Asia,Israel,2021-01-13,520060.0,9997.0,8087.429,3817.0,46.0,41.143,60084.055,1154.983,934.3639999999999,440.98900000000003,5.315,4.753,1.17,322.0,37.202,2171.0,250.822,,,,,122324.0,9774755.0,1129.306,14.132,111611.0,12.895,0.07200000000000001,13.8,tests performed,2138764.0,2021106.0,117658.0,108622.0,68291.0,24.71,23.35,1.36,7890.0,85.19,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,1.36,8087.428571428572,384.0,0.6600000000000001,
